model,train_r2,test_r2,train_mse,test_mse
sr,0.2094565744892497,0.05866256106026402,61.6757405492978,99.63319580074338
mr,0.2562834737904407,0.16544750833206567,58.02245143344381,88.33084542138639
pr,0.21842017656050372,0.08314724202687895,60.97642818024403,97.0416840729052
omr,0.21008599755933666,0.05034983156876438,61.62663491801468,100.51303311604028
sdt,0.38522565685787546,0.04092629983538576,47.96278314439418,101.5104401493606
dt,0.6479462360512848,0.6229355239842269,27.466140257477132,39.9093217950607
rf,0.9281760128424559,0.5743217601892004,5.603484203644858,45.0547079726852
odt,0.4799337231416434,0.03773291539663992,40.57395422551534,101.84843488312045
orf,0.8881419948337357,0.05656027178677525,8.726813837632397,99.85570665620371
5-5-1-rnn,,,40.265768282191004,62.96345406163355
5-5-5-1-rnn,,,28.008131321388017,50.40308451524717
5-10-1-rnn,,,30.7674866077371,52.615887242844984
5-10-10-1-rnn,,,24.69755258213847,48.714128137220314
2-2-1-rnn,,,56.22632513777549,93.52711269421287
2-2-2-1-rnn,,,56.33996047028108,89.59854052290902
2-4-1-rnn,,,59.260570133849185,96.2317952106632
2-4-4-1-rnn,,,52.717258034383654,88.13360202232852
